
2022/01/26 (15:10:39) | ===> btop++ v.1.2.0
2022/01/26 (15:10:39) | ERROR: Invalid RGB decimal value: "2"
2022/01/26 (15:13:29) | ERROR: Invalid RGB decimal value: "2"

2022/03/16 (18:33:31) | ===> btop++ v.1.2.5
2022/03/16 (18:33:31) | ERROR: Stall in Runner thread, restarting!
2022/03/16 (18:33:46) | ERROR: Stall in Runner thread, restarting!
2022/03/16 (18:34:03) | ERROR: Stall in Runner thread, restarting!
2022/03/16 (18:34:41) | ERROR: Stall in Runner thread, restarting!
2022/03/16 (18:35:11) | ERROR: Stall in Runner thread, restarting!
2022/03/16 (18:35:21) | ERROR: Stall in Runner thread, restarting!

2022/03/16 (19:16:19) | ===> btop++ v.1.2.5
2022/03/16 (19:16:19) | ERROR: Stall in Runner thread, restarting!
